point,doc
8,"태어나줘서 고마워 00야. 토닥토닥  그 대사가 가슴을 따뜻하게 해주는 영화.  미혼모, 미성년자 성매매에 관하여 사회에 던지는 강한 메세지가 있다. 그들을 결코 혼자버려두어서는 안된다는걸."
7,연기자들이 연기를 너무 못합니다. 고레에다 히로카즈 작품이라 별 반 개 더 해서 드립니다...
7,마녀1을 넘지 못한 범작
5,초반 인트로 길가메쉬 펀치는 그냥 범죄도시 펀취력 그대로 가져왔네  범죄도시는 저정도 펀치가 과하게 느껴져서 시원하게 재밌다면 마블에서의 펀치는 힘좀쓰는 일반인 느낌이라 너무 어이없음 나중에도 헐크랑 아이언맨헐크버스터 느낌만 났어도 스토리 무시하고 별점 8점을 줬을텐데액션에 목말라있는 나에겐 너무 언밸런스
1,1편보다 대사는 더 오글거려졌고 스토리는 진짜 짜임새가 하나도 없음 앞서 개봉한 범죄도시 2와 비교되는 완성도
1,내 인생 최악의 영화...
10,"신인 여배우도 연기 너무 잘하고 작품 전체적으로 몰입감 높아서 좋았음액션도 너무 잘 나왔고, 마지막에 담편까지 기대하게 만들어줘서 너무 재밋었어요!!!!"
8,마녀2 는 스토리를 이어주는 역할을 하다보니 전 편보단 탄탄하단 걸 느끼지 못했지만 스토리를 떠나 1편부터 잔인했으니까 킬링타임용으로 볼 만했어3편이 제대로 된 작품으로 나올거 같아큰 기대없이 한번 쉬었다간다 생각하구 보기를~!!그리고 다른 관람객 분들 왜 다 나갔는진 모르겠는데 끝나구 나가지말구 2분만 기다리자쿠키 영상 나오니까 꼭 보구. 2편의 찐결말 이야!!
10,앞으로의 마녀 시리즈가 기대됨
9,시원하고 깔끔한 여름 액션영화. 개인적으로는 1보다 배경이 더 다양해서 보기 좋았음.
10,너무 재밌게 봤어요~ 영화 개봉한 날에 봤지만 또 보러가고싶네요
7,시리즈물로의 진화와 세계관 확장에 포커스가 무리하게 집중된 느낌이 들며마녀2를 단 한편의 영화로 생각 한다면 다소 아쉽게 느껴집니다
10,"영화 초반엔 아 설마 저렇겠어; 했지만, 영화가 진행하면 진행될 수록 아 저럴 수도 있겠다. 아 저러겠다. 아니, 지금 저러고 있는 거 아닌가? 하는 영화."
5,마녀1 안보고 영화봐서 그런가 지루하네 하고 집가서 마녀1봣는데 여전히 마녀2가 이해가지않고 재미없다...동물병원 아저씨는 왜나온것이며  이종석은 왜 출연한것인지...총평: 영화끝나기전에 팝콘 다먹고 나간 사람이 더 많다  내일출근해서 재미있다고 추천한 직장동료 혼내준다
10,쳠엔 뭐지 이랬는데 핵 재밌는데스토리가 좀 짧아서 아쉽다 진짜
10,기대 안했는데 기대 이상. 액션이 완전 좋았다!
10,인생 명작 다섯손가락 안에 든다 진심 핵잼!
10,후반부 짜장들 후드려패는 타격 쾌감 훠훠가 보면 분노할지도
9,정말 현실적이면서도 잔잔한 휴머니즘 같은 영화네요.. 살아 생전 가족들에게 잘합시다.. 특히 부모님께 효도는 못해 드릴망정 불효는 안됩니다 ㅠ
10,"영화 리뷰 처음써보는데 진짜 재밌게 봄김다미는 역시 연기를 너무 잘하고 액션도 빵빵해서 좋음, 중간중간 그 깡패 비스무리한 남자때문에 몇번웃음 (나만 웃은거 아님, 단체로 웃음) 혀튼 결론 재밌다"
1,하루종일 싸우다 끝남 ㅋㅋ
2,"나 영화관에서 자보긴 처음ㅜㅜ 김다미나와서 그나마 마지막은 보고나옴..뭔내용인지., 주인공은 대사도 없고ㅋㅋㅋ"
9,재밌었다~
6,동물들 출연량 너무한거 아닙니까
4,"2/3까지 지루해서, 중간에는 사실 영화관에서 나가고 싶었습니다. 스토리가 약하고 개인적으로 생각하기에 스토리에 집중에 방해되는 미스캐스팅들도 있고, 억지스러운 유머를 넣은 부분도 어색했습니다. 잔인함이 한계를 넘어서 자극적인 요소를 계속보야줘야 하는 압박감이 있겠구나 라는 생각이 들었습니다. 불필요한 욕과 술 담배 장면이 그렇게 많이 필요했을까 싶었습니다. 마지막 여주의 장면은 소름돋을정도로 재미있긴했지만 그부분을 제외하면 참 별로였던 영화여서 1편을 재미있게 보았던 저로서는 매우 실망스러웠습니다."
1,좌파들의 쓰레기같은 영화
4,"전반적으로 유치하지만 나름 신선한 연출도 있었고 액션 타격감이 있어서 괜찮았습니다. 진구는 조직보스인데 불쌍한 예능캐, 이종석은 언제 치고박고 싸우나 기대했는데 바다구경만 하고 돌아오고 신시아 대사가 많지 않아서 아쉬웠음 그리고 3편이 기대됨"
8,개인적으로 나쁘지는 않구요. 부족한 부분은 있지만 볼만합니다. 3편도 볼 예정입니다.
6,영상이 왜 빨갛게 보이다가 말다가 하는건지 거슬렸음.. 그리고 안정적인 연기를 하는건 얼굴을 아는 몇몇 배우고...나머지 신입들은 더 노력해야 할거같은데...너무 어색해서 기대이하였음. 내가 너무 기대 많이 하고 봤나봄. 1편보다 못했음.
9,1편보다 재밌다고 해서 봤는데 진짜 재밌었어요!! 액션도 너무 좋았고 타격감 진짜 대박이에요!!
10,세계관의 확장이다보니 지루할 수는 있으나 아직 호기심을 포기할 수는 없다.
10,요즘 나오는 영화 중에 제일 낫다
5,기대에 못미치네요 ㅠㅠ
7,“역시 고레에다는 고레에다네” 와 “무려 고레에다가 이랬다고?” 가 공존하는 영화. 그만큼 일관적인 퀄리티를 유지하기 보단 꽤나 좋은 장면들과 꽤나 못만든 장면들이 버무려져 있음. 낙태에대한 시각이나 그밖에 시대착오적인 묘사들이 요즘 정서에 부합하진 않지만 그럼에도 따듯한 톤으로 담아내서 그런지 불편함이 어느정도 상쇄되는 느낌. 아쉬운 점은 외국감독이라 그런지 대사가 배우들에게 잘 안붙는 느낌이 있음. 배우의 언기 문제라기보단 대사가 전체적으로 부드럽고 이뻐서(?) 한국인이 할법한 단어선택이나 톤이 아니라는 생각이 들었음 (특히 남배우들 대사). 또 해진이 캐릭터가 너무 기능적인 측면이 커서 붕 뜨는감이 있고 해진이의 등장을 기점으로 발렌스가 깨지고 플롯이 중구난방해지는 느낌을 받음.개인적으론 없어도 될 캐릭터라는 생각이.. 그러나 주조연 연기들이 다 너무 뛰어나서 연기 보는 맛이 있어서 좋았음. 능청스럽고 묵직하게 영화를 끌고간 송강호는 물론이고 배두나 연기가 첫장면부터 너무 좋아서 제일 인상깊었던듯. 아이유 강동원도 너무 훌륭하게 제 몫을 다 해서 연기로 불편한 장면은 전혀 없었음 (어색한 대사와는 별개로). 여러모로 전작들에 비해 아쉬운 점은 많았으나 (특히 너무 직설적으로 메시지를 떠먹여주는게 고레에다스럽지 않았음) 감독이 커리어에 걸쳐 한 주제의식을 꾸준하고 단단하게 밀고나간다는 것은 대단하다고 생각. 연기구경만으로도 볼 가치가 충분하니 많이 보러가주세요!
7,그냥 다 보고 내용이 뭐였지?? 라는 생각들고 그냥 뭔가 어색함
2,"개봉 첫날 관람.초반 1시간은 스토리도 없고, 주인공 얼굴만 보여줘도 꾹꾹 참았음.이후 시간도 스토리가 없음.  마지막에 액션은 전부 CG !돈, 시간 아까움.중간에 나갈까 하다가 좀만 더 기다려 보자.  뭐가 나오겠지.  아무것도 없었음.최근 10년내 관람한 영화 중 최악임.영화관 엘베 안에서 다들 욕하고 난리."
6,"<뭔가 아쉬는 후속편>러닝타임에 비해 크게 보여준게 없음.. 종석이형은 바람쐬러 나온건가.. 세계관 확장을 목표로했다면 알반인 남매와 진구빌런의 분량을 줄이고 1편의 박희순일당 ,귀공자 일당, 2편의 토우, 이종석 일당, 본사요원 등 디테일한 스토리를 추가하였더라면 더 재미있었을텐데 아쉽다 액션 분량도ㅠㅠ그래도 3편 기대됨 완결까지 롱런했으면 좋겠다"
1,ㅇㅅㅇ..할많하않..
6,"오랜만에 기대되는 작품이라 첫날 보러 갔는데 좀 많이 지루했어요. 옆에 분들 하품하는 소리가 계속 들리더라구요. 나만 지루한게 아니였구나했습니다. 진구씨도 왠지 평소랑 다르게 좀 어색한 느낌....끝나고 난 후 신시아씨는 잘...기억이 안났습니다, 그래도 3편 나오면 보긴 할거같아요."
6,이해 할 수 없는 흐름의 지루한 스토리가  늪에 빠져 생명을 다 할 때쯤  마지막 단 한번의 액션으로 생명은 부지했다.
8,태어나줘서 고맙다는 말이 진부해 보일지라도 여기서 감동 받았다.
10,진짜 구자연 진짜 대박 동생도 진짜 대박이고 구자연한테 반해버렸음 ㅠ
1,2점은 주고 싶지만 평점 조절을 위해 1점 드립니다.  전문가 평점 믿으세요. 재미없습니다.
10,"토이 스토리 팬이라면 궁금할 영화, 삭스는 단연 최고 귀욤 ㅋㅋㅋㅋ오프닝 찢었다"
4,1편은 스토리도 있고 액션도 적당히 긴장감 있게 봤는데 2는 너무 유치찬란한 액션에 피칠갑만 난무ㅜㅜ
5,픽사 치고는 재미도 감동도 없었으나 용아맥으로 봤을 때 개안했다. 이게 애니라고?
1,"쓸데없는 대사,장면, 사운드 들이 너무 난무했던거 같아요... 보다가 중간에 나왔어요...."
10,잘 만들어진 영화입니다.
2,진짜 재미없었어요돈아깝고 시간아깝고..
8,1탄 김다미가 그래도 인간병기였다면 2탄 여주는 그냥 신급. 내용은 1탄 복붙.
10,액션씬이 미쳤고 3편이 기대됨
2,10중에 스토리가1  액션이 9 (1편에 비해 너무 말도 안되는 액션/죄다 CG) 지루했고..두시간동안 불필요한 욕까지 온갖 욕을 다 듣고.. 너무 잔인한 연출이 많았고.. 보면서 15세이상 청소년들이 봐도 되나 싶었다. 내용도 없고 이종석은 왜 나온건지 모르겠고 뒤죽박죽에.. 혼잡해서 지루했나?
10,이런 먼치킨류의 스토리를 좋아합니다.1편보다 액션이 더 화려한게 재밌게 봤어요~3편 기다려지네요
6,손석구 연기 좋아요. 그런데 기대치가 너무 높았나봅니다. 실망도 있음
6,영화가 매우 난해해요.시점이 다르게 표현한 영화라 장면마다 인칭 시점의 심리 적인 묘사들이 각각 다른 묘미가 있어요.아빠가 딱 거기서 멈췄으면 하는 아쉬움이 남네요
8,앞으로 3부가 어찌 진행될지 벌써부터 기대되네요 2시간이 금방 갈정도로 너무 아쉬운듯 해서요 ㆍㆍ 3부는 어찌진행될지 벌써부터 긴장되네요
2,"1을 워낙 재밌게봐서 그런가..너무 기댈했나 스케일만 크지 내용,대사가 좀..몰입이 깨짐"
5,액션 빼곤 노답이었음
10,말이 필요 없다 그냥 최고다!!!
6,등장인물의 숫자가 더 적었다면 좋았을까
10,
10,
10,졸잼 이네 진짜 와우 개강추
10,기대한거보다 훨씬 재미있었어요. 아이들이 좋아하겠어요.
10,역시 액션은 마녀다웠다. 신시아도 생각 이상이였고 그 외에도 캐스팅이 다 대체적으로 만족스러웠다.
8,마블 히어로물 영향을 많이 받았나봐요...닥터스트레인지+완다+헐크가 된것 같네 개인적으론 1편의 액션씬이  더좋았던것같은데....타노스랑 맞짱뜨도 이길듯
10,마녀보다 서은수가 주인공인듯하네요 캐릭 짱 좋고 매력 쩔어요 분량은 적지만 이종석 김다미 연기 좋고 막판 액션 끝내주네요
10,이런 액션 너무 좋아요  재미있게 잘봤어요
10,여자친구랑 보는 내내 손에 땀을 쥐고 봤습니다.처음으로 집중해본 영화
10,재미있게봤습니다ㅎㅎ
4,"보는내내, 연기랑, 영어대사때문에 오글오글.. 항마력이 딸려서 힘들었다. 4점준건 볼만한 액션씬몫임"
2,진심으로다가 재미업씀...
10,1편 보다 훨씬 좋고 아주 몰입하면서 봤어요 세계관이 꽤 방대하네요
8,영화초반: 어?엄마역할 여자이쁘다 (배우 변서윤)영화중반: 어? 서은수 담배잘피는데 외국인은 뭥미?영화후반: 와 ㅅㅂ 액션개쩔끝
6,"전체적으로 다 평가해보면 주인공 신시아씨 천사같음 근데 대사는 20마디도 안 넘을 듯 연기 더 보고 싶었는데 아쉽 잠깐 같이 산 남매와 유대관계 부족함 그래서 감동 부족 그래서 폭주도 좀 약한느낌 수의사, 진구 등등 굳이 나올 이유를 모르겠는 장면 꽤 있었음 글로벌한 느낌 내려고 외국어 많이 씀ㅋㅋ개인적으로 오글거림 그리고 개인적으로 이종석씨 연기 조금 어색 그리고 마녀 1과 마찬가지로 피칠갑 전체적인 세트장?도 비슷하고 스토리 흐름의 큰 틀도 약간 유사함 cg 꽤 썼음 근데 개인적으로 티남 볼거리 꽤 있음 그리고 집어던지거나 액션장면이 너무 빠르게 지나가서 아쉬웠음 한동작이라도 빠를 땐 빠르고 적당한 속도도 필요하다고 생각함 섬세함 부족 신시아는 남매도 죽고 초반에 들린 엄마 환청 말고는 이제 각성할 요소가 없는 것 같은데 좀 약했음 3에서 구자윤 도구로 쓰일지 아니면 엄마찾기가 극대화 될지 또 다른 요소가 있을진 모르겠지만 3이 기대되기는 엄청 됌 3 나오면 바로 볼거임"
10,액션이 시원시원해서 그런가 뭔가 속이 뻥 뚫리는 기분이였어요!
2,시작부터 피칠갑 흔한클리셰범벅긴장감조절실패 원피스급 액션과싸구려 그래픽티 팍ㅠㅠ 사람을 먼지로붆거시키는장면에서 실소를 금치못함
10,마녀3 빨리 나와라 ㅎ
4,"느슨한 전개와 지루한 스토리. 액션은 소림축구와 쿵푸허슬 피칠갑 버전. 다행인건 자윤(김다미 배우) 등장씬이 멋졌다는 거. 감독이 만화 스타일 추구한다고 해도 마녀라는 장르랑 어울리게 대사를 해야지 이건 미스테리, 액션 인데 대사는 청춘물이나 어린이 만화 같아서 헛웃음만 나옴. 마녀 세계관? 글쎄...그냥 가족상봉이 전부가 아닐지.."
10,"기본적으로 영화광이며마녀1이 너무 재미있어서 여러번 본 사람으로써 마녀2 본 소감을 말하자면 ""굿! 괜찮다""이다. 갠적으로 범죄도시2 보다 훨씬 더 재미있다. 마녀팬이라면 당연히 벌써 보셨을것이고 액션 좋아하시는 분 한테는 강추!!"
8,우연은 우리의 삶에서 가장 다이나믹한 순간이 될 수도 있다.
10,끝까지 긴장을 놓지 않게 해준 영화. 더 강렬해진 액션과 신시아 배우의 매력이 끝내준다!
10,액션이 너무 좋았고 마녀만의 세계관도 넓어진 느낌이라 만족. 3편도 기대됩니다.
8,추천순 평점이 좀 박하네. 알바 아니고 괜찮게 봤음. 다만 좀 씬이 늘어지는 부분(진구가 박은빈 집에 처음으로 쳐들어올 때 말이 너무 많고 질질 끔)들이 있었고 주인공이 두들겨 패는 장면이 적어서 사이다 장면은 별로 없었음. 마녀3 보기 위한 긴 예고편 같은 느낌은 들지만 마녀니까 괜차늠. 기다릴 수 있다! 아 근데 조중사 너무 오글거려서 못 보겠더라. 3편에선 그러지 말아주세요 제발...
4,망녀망녀 ㅇ하는지알겟당...끝
10,"계속 기억에 남는 영화입니다 ㅜㅜ 이런영화가 많이 나왔으면 좋겠어요 개인적으로 범죄도시보다 재밌,,!!"
10,보는 내내 흥미진진하고 재미있었습니다. 3편이 기대되는 영화입니다 !!
10,인생이 때론 괴롭고 암울할지라도..언제든지 춤출 준비를 하자. 즐기자
10,역대급 역작. 하루키소설 좋아하는사람들 꼭 보시길
10,범죄도시와 함께 믿고 볼 수 있는 한국 액션 영화 시리즈
10,범죄도시1은 안보고 2를 봤는데도 아주 재밌었음
1,송강호 연기만 좋았고 노잼... 감동포인트 뭘 노린건지는 알겠는데 아이유 연기가 부족해서 감동이 없었음영화 보는 내내 중간에 나가고싶은거 참느라 힘들었네요
10,이런 영화는 큰 스크린에서 봐줘야 제 맛ㅋㅋㅋ
2,기분좋게 사회에 2.5 기부했어요 불우이웃에게 가기를 희망합니다
10,서서히 납득되고 공감되다가 여운을 남기는 이야기ㅡ삶은 그 자체로 소중하다. 믿고보는 감독 .배우들.
10,액션 짱이네요 마녀 3편도 기대되는군요 ^^
7,아기를 낳는다고 부모가 되는 것만이 아님을 보여주는 영화.코레에다 히로카즈 전 영화들을 함께 보면 좋을 영화다.
8,
10,야 영화보고 평점 쓰냐 ㅋㅋ  헐리우드 심사평가단 처럼 말하냐 ㅋㅋㅋ 한국영화에서 이정도면훌륭하지 ㅋㅋㅋ아휴
5,마녀 찌그러기들은 날아다닌다. 서쪽 마녀 찾아 삼만리
8,액션신은 좋은데 신인배우의 연기력 스토리의 아쉬움이 남네요 3부에서 어떤스토리와 멋진액션씬을 보여줄지 그리고 마녀하면 김다미니깐 기대해보겠습니다
10,2번봤는데 액션씬10분이랑 김다미 5분 나오는거 보려고 2번 봤네요 볼만은 했어요 그전이 너무 지루해서 그렇지 3편을 위한 디딤돌같은 느낌
10,1편 보다 볼거리도 많고 재미있게 잘 봤어요. 스토리도 몰입감 있게 잘 나왔네요.
1,살면서 첫 글인데 개 쉽 OOO네유
2,1 너무 재밌게 봤어서 기대 했는데 스토리가 너무 루즈하고 알차지도 않아서 넘 속상하고 아쉽네요 ㅠㅠ
1,김다미만 기억에 남음..
10,최고입니다. 또 보러가야징
10,긴장감이 있고 심장이 쫄깃하고 액션 짱
8,액션 cg는 최고인데  뭔가 분산되었다고할까?서은수님과 같이다니시는 외국배우님 콤비는 너무 좋았는데 왠지 마무리가 너무허무 레벨이 극과극 마무리가 마녀1은 인간미였다면 마녀2는 액션만있는 스토리가 너무 빈약하지않았나 생각드네요
2,"서사와 설명이 다 빠져버린 쭉정이같은 영화. 중국, 미국양쪽 자본 유입된건가 아주그냥 되도안한 영어에 중국어에 난리났다....이종석은 왜 출연하는건지도 1도모르겠고....극장에 앉아있는 동안 엉덩이만 아팠네에잇"
10,파트3가 기대되네요 재미있었습니다
8,보는 맛은 있음 그리고 ..
9,전편보다는 스케일이 커진거 같은데 더 아쉽네요
10,마지막에 반가운 얼굴이 나오네요. 쿠키를 보니 벌써부터 마녀3가 보고 싶어집니다.
6,마녀는 계속 먹고 먹는다. 마지막 손가락 까딱하면 모두 날라가고 죽음. 내용 끝3편은 이러지 말기를 ..
8,"쓰레기로 나오는 진구 배우는 선역도 악역도, 이도저도 아니었어요. 나름 인간으로서의 관찰자 느낌의 캐릭터로 보이는데, 재미도 없고 감동도 없습니다.액션씬은 호불호 갈릴것 같아요. 1편은 실내에서 눈이 호강하는 액션이었는데, 2편은 실외에서의 공중전과 역동성은 멋졌어요. 다만 밤이라 초인들의 스피드한 액션은 너무 빨라서 제대로 보이질 않습니다. 개인적으로 불호입니다. 서은수 배우의 거친 전사의 연기는 생각보다 찰떡이어서 놀랐습니다. 소녀는 극중 1주일도 안되는 시간에 무기질적인 소녀가 인간의 감정을 깨달아가고 느끼는 과정이 너무 짧아서 공감이 전혀 안되더군요. 극중 시간선을 좀 더 길게 잡았으면 하는 아쉬움이 있었습니다.마지막 김다미 배우가 나오는 하이라이트 5분.  짧은 대사와 액션, 그리고 표정에서 얼마나 순수하게 악한 인간인지 나와서 좋았습니다. 별것 아닌 대사임이 분명한데, 자윤이의 순수한 표정이 모든걸 말해줍니다.임팩트 지립니다 진짜로. 결론은 김다미 배우가 나오는 5분으로도 이 영화는 볼 가치가 있다."
10,업그레이드 된 능력과 액션 끝내주네요 재밌어요 꼭 보세요~~~~
8,고레에다 감독님 영화 좋아하는데 이번작품은 좀 아쉽네요
10,1탄 보다 몰입감 훨씬 더 좋았던거 같아요 갠적으로 1보다 잼나요
1,3류 중국 액션 영화임 스토리 1도 없음
1,진짜 최악입니다..여자친구랑 보다가 중간에 나왔어요영화보다가 나온적은 처음...너무지루해요 ㅋㅋㅋㅋ
10,
10,액션씬은 정말 최고네요~!
10,재밌었어요 3편도 나오면 좋겠어요ㅋㅋㅋ
10,시간 가는지 모를 정도로 몰입해서 봤습니다 액션와 CG로 눈호강 시켜줘서 정말 재밌게 보았습니다
7,"마녀1 에서 현란한 액션에 반해서 2도 보게되었는데, 역시 액션은 우리나라 영화중에 최고인 것 같아요! 다만 액션씬이 많지는 않아서 조금 지루한 감이 있어요!"
6,각본가의 사교성이 우려스럽다
10,액션이 굉장히 재밌었다! 한국에도 이런 물이 나와서 너무 기대되는 부분이다. 흥행했음 좋겠다 그래야 더 멋지게 나오니까
8,"컨셉과 상황설정, 즉 초반부의 스토리텔링은 아주 흥미롭고 이색적입니다. 템포도 빠른 편이지요. 그러나 중반부에서 살짝 지루함이 느껴집니다. 물론 그런 장면이 있어야 후반부의 성장과 교훈의 장면이 힘을 받겠지만, 풀어내는 방식이 아쉬웠습니다. 그와는 별개로 '애니메이션'이라는 장르의 특징상 캐릭터나 주변 오브젝트의 작화 퀄리티, 움직임 등은 매우 뛰어납니다."
10,한국 액션이 진짜 할리우드 급으로 나올 수 있단 걸 보여주네요 스트레스 풀기 딱 좋아요!!
10,액션은 더 화려해졌네요. 추천합니다!
10,볼만했음. 우리가 쥬라기월드 시리즈를 보는이유는 잔혹한 공룡에 쫓기는 스릴과 공포감을 느끼려고 보는것임. 근데 이번 쥬라기월드는 역대 쥬라기 공룡 영화중에서 그걸 다 채워줌 1편과 더불어 이 마지막편도 수작임. 대신 내용은 별거없고 공룡에게 당하는걸 위주로 짜릿하게 잘만든 킬링타임 영화임.
8,초반에는 이게 뭔 내용인지 이해가 안돼서 좀 지루한 감이 있었는데 후반에 설명이 나오더라고요 액션씬은 볼만한데 넘 닌자인줄 역시 구자윤 동생이라 졸라 쎄요
2,마녀를 5번이상 본거같은데 마녀를 한번 더보는게 재미있겠다지루하고 특별한것도 없고 내용도 그닥이고....
10,기대 이상으로 괜춘ㅋㅋㅋ 다음이 또 기대되네
5,"연기는 훌륭했지만, 영화는 재미가 없었습니다."
1,최악입니다 최악이에요
4,진짜 3류 짜장영화같다. 1편 안보고 가서 딴건 기대안했고 액션만 보러 갔는데 카메라만 겁나 흔들어대는 통에 액션의 동선 자체가 안보여서 뭔 일이 일어나는지 모르겠음. 게다가 대부분의 액션이 Cg같은데 움직임이 어색해서 보는 내내 기시감이 느껴졌음. 캐릭터들의 행동이나 감정선도 뜬금없고 대사도 욕이나 똥폼잡는 오글거림이 강함. 김다미가 나온다는걸 몰랐으면 중간에 뛰쳐나왔을 것 같다
2,억지감성 진부하고 지루하게 만든 스토리 액션도 제대로 안보이고 최악이였음 마녀는1으로 끝나야했다
2,애들이 왜케 연기를 못하는지? 이종석...ㅠㅠ스토리도 좀 유치찬란하더이다.실망이야~
6,아이들이 좋아할 것 같은 영화예요
10,박은빈과 성유빈의 남매 연기는 진짜 찐 남매 케미ㅋㅋㅋㅋ너무 너무 재미있었어요
4,흔해빠진 얘기에다 억지 비장함. 거기다 김옥빈의 파워부OO지.
1,"지루합니다.,.,.,.,."
10,이렇게 잼있는데 1점준사람들 이해가안가네. .다음편 기대돼요~!!
10,너무 재미있게 봄
4,뭐지 ...? 진짜 재미없다 ;; 그냥 브로커 볼 걸 그랬다
10,보는내내 빠져들어 잼나게 봤어요ㅎㅎㅎ시간 가는 줄 모르게 잘봤습니다
10,
1,쓰레기입니다
2,"감독님 일본애니 압수 해야됨어디서 많이 본 것 같은.. 뭔가 허세가득 가오만 잔득 잡는데 알맹이 없는 빈껍데기.. 가오는 연기로 잡아야 되는데 그게 받쳐주는 연기력의 배우는 없네요뭔 말을 하는지 1편 마냥 친절하게 알려주진 못해도 누군간 설명 해줘야 될거 아닙니까..? 제일 문제는 여주가 매력이 없어요.. 김다미 만큼 힘도 쎄야되는데 귀엽게도 해야겠고, 근데 또 섬뜩할 만큼 잔인도 해야겠고, 근데 또 따뜻한 마음도 가져야됨. 거기에 너무 집착한 나머지 이도저도 아닌 여주가 된것 같아 안타깝습니다. 이종석은 대체 왜..!"
10,끌고가는 스토리나 분위기는 지루했습니다그럼에도 처음부터 끝까지 긴장하고 봤습니다 왜일까 싶었는데 어떤 장면이 연출될지 모르고 있어서 인듯합니다. 싸움신을 비공개로 홍보한건 잘한거 같습니다. 싸움신 헐리우드 만큼 완벽했습니다
10,최고!!!! 끝나고 박수나오는거 처음봣음..
10,액션이 시원시원 하네요 ~ 신시아 되게 매력적이였어요 ~
10,스토리 내용에 대해 호불호가 갈릴 수 있지만 꼭 보세여 유치하지만 시원시원한 액션이 좋았습니다 ㅎㅎ
6,아들과 잘보고 왔어요 재미있대요
10,멋져요 우리나라 영화라는게 넘 자랑스럽네요
4,"메뚜기 왜이렇게 많이 나오고, cg는 왜또 후퇴했니?? 공룡들 목이랑 눈처리가 너무 부자연스러움 ㅋㅋ 보는내가 민망하더라"
2,광우뻥 선동이 생각나네
10,재미있었음 구라안치고 헐리웃 액션 영화에 비빌만함ㅋㅋ
10,스타일리쉬한 액션 좋았고 스토리도 지루하지 않고 재미있었습니다. 마녀3편도 기대되네요
1,영화관에서 주식차트본건 처음입니다
1,이게 무슨영화인지....?
2,이딴걸 평점 7점이나 준다고?ㅋㅋ
5,'삭스' 혼자 다 하는 영화
